code,name
7203,トヨタ自動車
6758,ソニーグループ
9984,ソフトバンクグループ
8306,三菱UFJ FG
6861,キーエンス
4063,信越化学工業
6098,リクルートHD
9983,ファーストリテイリング
8035,東京エレクトロン
6501,日立製作所
7974,任天堂
4519,中外製薬
6367,ダイキン工業
9433,KDDI
9432,NTT
4568,第一三共
8058,三菱商事
8001,伊藤忠商事
8031,三井物産
2914,JT
6902,デンソー
7267,ホンダ
6954,ファナック
6273,SMC
6594,ニデック
7741,HOYA
4543,テルモ
4502,武田薬品工業
4503,アステラス製薬
6981,村田製作所
6762,TDK
6503,三菱電機
6752,パナソニックHD
8766,東京海上HD
8750,第一生命HD
8411,みずほFG
8316,三井住友FG
8604,野村HD
8591,オリックス
9020,JR東日本
9022,JR東海
9101,日本郵船
9104,商船三井
9107,川崎汽船
5401,日本製鉄
5713,住友金属鉱山
4901,富士フイルムHD
4452,花王
2502,アサヒGHD
2503,キリンHD
3382,セブン&アイHD
9843,ニトリHD
4755,楽天グループ
4689,LINEヤフー
9501,東京電力HD
5020,ENEOS HD
1605,INPEX
8802,三菱地所
8801,三井不動産
6963,ローム
6857,アドバンテスト
6146,ディスコ
6920,レーザーテック
7735,SCREEN HD
6723,ルネサスエレクトロニクス
2413,エムスリー
6178,日本郵政
7011,三菱重工業
7012,川崎重工業
7013,IHI
